                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3318,                 5.1946,                   1.35,                0.00274,                0.00268,                0.00145,                0.00076,                 1.4887,                 4.9697,                0.91899,             6.9873e-05,             6.9873e-05,             6.9873e-05
                      2,                  1.341,                 4.5944,                0.94082,                0.01445,                0.16701,                0.01044,                0.00786,                 1.0626,                 3.9736,                0.83714,              0.0001339,              0.0001339,              0.0001339
                      3,                0.97912,                 4.1683,                0.86341,                0.00976,                0.17046,                0.00812,                0.00699,                0.76286,                 3.7407,                0.78814,              0.0001909,              0.0001909,              0.0001909
                      4,                 0.8042,                 3.8267,                0.84305,                0.03654,                0.17389,                0.02212,                0.02067,                0.68424,                 3.5069,                0.77495,             0.00018137,             0.00018137,             0.00018137
                      5,                0.73748,                 3.5609,                0.83524,                0.02043,                0.17161,                0.01398,                0.01271,                0.57311,                  3.378,                0.76504,             0.00018137,             0.00018137,             0.00018137
                      6,                0.68977,                 3.3565,                0.82953,                 0.0219,                0.16606,                 0.0148,                 0.0133,                0.57204,                 3.1578,                0.76411,             0.00017083,             0.00017083,             0.00017083
                      7,                0.67784,                 3.2365,                0.82779,                0.01914,                 0.1672,                0.01295,                0.01183,                0.51572,                  3.031,                0.75485,             0.00016028,             0.00016028,             0.00016028
                      8,                0.61238,                 3.1352,                0.82373,                 0.0176,                0.16395,                0.01184,                0.01075,                0.52798,                 2.9867,                0.75034,             0.00014974,             0.00014974,             0.00014974
                      9,                0.58057,                 3.0677,                0.82082,                0.01901,                0.14736,                0.01232,                0.01115,                0.53057,                 2.9362,                0.74612,              0.0001392,              0.0001392,              0.0001392
                     10,                0.54519,                 2.9964,                0.81857,                0.02016,                0.13569,                0.01284,                0.01191,                0.50792,                 2.9147,                0.73982,             0.00012865,             0.00012865,             0.00012865
                     11,                0.47203,                 2.8649,                0.81009,                0.01947,                0.09105,                0.01186,                0.01141,                0.36233,                 2.8079,                0.71946,             0.00011811,             0.00011811,             0.00011811
                     12,                0.40768,                  2.808,                0.80179,                  0.018,                0.07409,                0.01104,                 0.0107,                0.34691,                 2.7766,                0.71854,             0.00010757,             0.00010757,             0.00010757
                     13,                0.37812,                 2.7749,                0.80044,                0.01834,                0.09213,                0.01151,                0.01123,                0.32228,                 2.7553,                0.71413,             9.7021e-05,             9.7021e-05,             9.7021e-05
                     14,                0.35185,                 2.7475,                0.79907,                0.01759,                0.03964,                0.01002,                0.00982,                0.31178,                 2.7275,                0.71154,             8.6478e-05,             8.6478e-05,             8.6478e-05
                     15,                 0.3302,                 2.7282,                0.79356,                0.01816,                0.03989,                0.01024,                0.01008,                0.28796,                 2.7102,                0.70927,             7.5935e-05,             7.5935e-05,             7.5935e-05
                     16,                0.31775,                 2.7099,                  0.797,                0.01787,                0.04108,                0.01019,                0.01007,                0.27488,                 2.6988,                0.70544,             6.5391e-05,             6.5391e-05,             6.5391e-05
                     17,                0.30666,                 2.6934,                0.79275,                 0.0213,                0.09073,                0.01278,                0.01265,                0.25658,                 2.6756,                0.70257,             5.4847e-05,             5.4847e-05,             5.4847e-05
                     18,                0.29652,                 2.6814,                0.79252,                 0.0211,                0.07892,                0.01236,                0.01226,                0.24845,                 2.6612,                0.70348,             4.4304e-05,             4.4304e-05,             4.4304e-05
                     19,                0.29725,                 2.6741,                0.79266,                0.02172,                0.07976,                0.01262,                0.01251,                0.24289,                 2.6523,                0.70134,             3.3761e-05,             3.3761e-05,             3.3761e-05
                     20,                0.28501,                 2.6666,                0.79137,                0.02065,                0.08164,                0.01221,                0.01211,                 0.2555,                 2.6539,                0.70103,             2.3217e-05,             2.3217e-05,             2.3217e-05
